"item","item_label","p_treated_g1","p_control_g1","response_rate_g1","corrected_item_total_g1","irt_difficulty_g1","irt_discrimination_g1","p_treated_g2","p_control_g2","response_rate_g2","corrected_item_total_g2","irt_difficulty_g2","irt_discrimination_g2","subject","grade_pair","anchor_flag","treated_p_swing"
"f247","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: poule",0.78,0.54,0.97,0.532499512286311,-0.985833953057977,1,0.84,0.58,0.975,0.46534711558174,-0.77916549673851,1.74052536065719,"French","g3-g4","extreme_anchor",0.0599999999999999
"f293","LIS LA QUESTION ET MONTRE-MOI LA BONNE REPONSE. QUE FAIT ALI ? Ali saute sur le",0.57,0.42,0.96,0.409041460033079,0.0333290359119113,1,0.62,0.36,0.975,0.33410656617808,0.0570205127983893,0.748269820638378,"French","g3-g4","usable_anchor",0.05
"f294_nv","LIS LA QUESTION ET MONTRE-MOI LA BONNE REPONSE. QUE FAIT SALMA? Elle joue.",0.29,0.2,0.955,0.308909606683045,1.64420267287243,1,0.54,0.28,0.97,0.479922917357784,0.36771538668838,1.28475704538913,"French","g3-g4","usable_anchor",0.25
"f297_nv","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: une fleur, Omar, dessine",0.54,0.39,0.995,0.484626948134879,0.21298955415335,1,0.77,0.47,0.975,0.527166780591173,-0.411233794246798,1.96438524957084,"French","g3-g4","usable_anchor",0.23
"f298","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: rouge, est, mon cartable",0.62,0.44,0.985,0.572771480228472,-0.176525763183916,1,0.77,0.71,0.985,0.325342737215927,-1.28535739838715,0.965893015746575,"French","g3-g4","usable_anchor",0.15
"f299","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: sous, est, la table, le chien",0.37,0.19,0.99,0.497191321127568,1.38873372425311,1,0.57,0.39,0.985,0.453516263092139,0.0754055699732377,1.31546964643079,"French","g3-g4","usable_anchor",0.2
"f21","TU AS QUEL AGE ? QUEL AGE AS-TU ?",0.59,0.17,0.46,0.560353110320562,0.405077265821698,1.88291752675131,0.410526315789474,0.29,0.446153846153846,0.585095843152084,0.904539784045927,1,"French","g4-g5","low_coverage_anchor",-0.179473684210526
"f2100","A QUELLE HEURE TU VIENS A L'ECOLE LE MATIN ?",0.09,0.04,0.19,0.393927241842631,2.04550935451747,1.97643483489623,0.168421052631579,0.06,0.282051282051282,0.555683400555141,3.08812681928462,1,"French","g4-g5","low_coverage_anchor",0.078421052631579
"f2101","COMMENT TU VIENS A L'ECOLE ?",0.06,0.08,0.195,0.237426335059199,3.33166148453151,0.87079900931216,0.115789473684211,0.08,0.225641025641026,0.374305217554315,3.32408867520257,1,"French","g4-g5","low_coverage_anchor",0.0557894736842105
"f2102","QU'EST-CE QUE TU FAIS PENDANT LES VACANCES?",0.12,0.11,0.185,0.442932422680247,1.72941082841227,1.68075634447906,0.242105263157895,0.16,0.276923076923077,0.581809575245572,2.08020239120996,1,"French","g4-g5","low_coverage_anchor",0.122105263157895
"f2104","QUELLE EST TA MATIERE PREFEREE A L'ECOLE ?",0.26,0.09,0.24,0.465265250996876,1.41662340431319,1.49985954737343,0.568421052631579,0.14,0.384615384615385,0.647759639010292,0.904539784045926,1,"French","g4-g5","low_coverage_anchor",0.308421052631579
"f2105","QUEL EST TON PLAT PREFERE?",0.24,0.12,0.235,0.414548940456959,1.57355284498757,1.21443179648002,0.378947368421053,0.15,0.312820512820513,0.553317152366952,1.54510710577257,1,"French","g4-g5","low_coverage_anchor",0.138947368421053
"f2107","Lina se réveille le matin.",0.06,0.04,0.21,0.301509092970561,2.52570778101682,1.55249424744801,0.136842105263158,0.03,0.174358974358974,0.509674959554611,3.59140975179574,1,"French","g4-g5","low_coverage_anchor",0.0768421052631579
"f2108","Lina va à la plage avec sa famille.",0.26,0.08,0.43,0.557757842740103,1.19671291811947,2.26596892929267,0.242105263157895,0.17,0.369230769230769,0.616490260351162,2.03175276689602,1,"French","g4-g5","low_coverage_anchor",-0.0178947368421053
"f2109","Lina nage dans la mer.",0.29,0.05,0.275,0.526474445557633,1.25554090814974,2.00707903676593,0.221052631578947,0.07,0.230769230769231,0.613920910457167,2.68201393249094,1,"French","g4-g5","low_coverage_anchor",-0.0689473684210526
"f2110","Lina joue sur le sable.",0.26,0.1,0.28,0.560174939626325,1.11048094273122,2.48610322220425,0.326315789473684,0.15,0.302564102564103,0.616756224770625,1.75690190657594,1,"French","g4-g5","low_coverage_anchor",0.0663157894736842
"f2111","Lina mange une glace.",0.57,0.28,0.535,0.628912298113566,0.224936450594094,2.42320831903131,0.494736842105263,0.35,0.502564102564103,0.688910113701508,0.434074651588803,1,"French","g4-g5","low_coverage_anchor",-0.0752631578947368
"f2112","Lina dort dans son lit",0.17,0.04,0.245,0.489133616140912,1.57336796433872,2.31222603348446,0.178947368421053,0.1,0.230769230769231,0.486980962581816,2.74481022683118,1,"French","g4-g5","low_coverage_anchor",0.00894736842105262
"f2113","TU VAS ECOUTER UNE HISTOIRE AUDIO. REGARDE BIEN LES IMAGES. TU DOIS METTRE LES N",0.51,0.44,0.98,0.335337569146772,0.144096154473321,0.768087528091191,0.610526315789474,0.46,1,0.456096704345349,-0.261173468350328,1,"French","g4-g5","usable_anchor",0.100526315789474
"f2114","TU VAS ECOUTER UNE AUTRE HISTOIRE AUDIO. REGARDE BIEN LES IMAGES. TU DOIS METTRE",0.67,0.48,0.97,0.460054302095071,-0.309626255806847,1.32662434009526,0.736842105263158,0.57,0.994871794871795,0.443212096021716,-0.996944502594775,1,"French","g4-g5","usable_anchor",0.0668421052631578
"f2118","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: tomate",0.95,0.88,0.98,0.350770547603216,-1.54133163208893,3.34462076911809,0.957894736842105,0.88,0.98974358974359,0.37442213720451,-3.49075060604074,1,"French","g4-g5","extreme_anchor",0.00789473684210529
"f2119","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: école",0.94,0.8,0.98,0.420257643142448,-1.25149741225681,3.57977966252653,0.957894736842105,0.81,0.994871794871795,0.391291261948676,-2.95825250290154,1,"French","g4-g5","extreme_anchor",0.0178947368421053
"f2126","RELIS LE TEXTE ET MET EN ORDRE LES IMAGES",0.15,0.05,0.97,0.391158270375512,1.94615822884116,1.53234547058577,0.231578947368421,0.04,0.958974358974359,0.4949763665666,2.80936888173996,1,"French","g4-g5","extreme_anchor",0.0815789473684211
"f2127","Quand se promène Dina avec sa famille? L'après-midi",0.45,0.25,0.955,0.188014927941398,1.31299874873114,0.497758823765098,0.326315789473684,0.2,0.948717948717949,0.257141746519105,1.54510710577257,1,"French","g4-g5","usable_anchor",-0.123684210526316
"f2128","C'EST AMINE SUR LES IMAGES. ECRIS UNE PHRASE POUR DECRIRE L'IMAGE, COMME DANS L'",0.19,0.11,0.57,0.46881364410881,1.45099765206001,1.75982017605013,0.168421052631579,0.09,0.523076923076923,0.477668541772833,2.87582246622738,1,"French","g4-g5","low_coverage_anchor",-0.0215789473684211
"f2129","C'EST AMINE SUR LES IMAGES. ECRIS UNE PHRASE POUR DECRIRE L'IMAGE, COMME DANS L'",0.2,0.1,0.47,0.44097888563119,1.51496301186056,1.61525788160086,0.242105263157895,0.17,0.435897435897436,0.63293244371149,2.03175276689602,1,"French","g4-g5","low_coverage_anchor",0.0421052631578947
"f2130","C'EST AMINE SUR LES IMAGES. ECRIS UNE PHRASE POUR DECRIRE L'IMAGE, COMME DANS L'",0.28,0.17,0.675,0.560849083069011,0.940722149063568,2.28238028973112,0.336842105263158,0.22,0.671794871794872,0.554167878484994,1.42413087207033,1,"French","g4-g5","low_coverage_anchor",0.0568421052631579
"f2131","C'EST AMINE SUR LES IMAGES. ECRIS UNE PHRASE POUR DECRIRE L'IMAGE, COMME DANS L'",0.24,0.06,0.54,0.515401784800246,1.32196686494828,2.17934865669945,0.189473684210526,0.07,0.405128205128205,0.522924226278804,2.87582246622738,1,"French","g4-g5","low_coverage_anchor",-0.0505263157894737
"f23","C'EST QUEL JOUR AUJOURD'HUI ?",0.23,0.31,0.375,0.380547129214958,1.14320445899022,1.05669516524759,0.463157894736842,0.35,0.533333333333333,0.585098941787814,0.532072403402603,1,"French","g4-g5","low_coverage_anchor",0.233157894736842
"f232_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:limonade",0.73,0.56,0.89,0.502537166755477,-0.498720438695771,1.96825832648436,0.768421052631579,0.62,0.928205128205128,0.519164079967659,-1.27080043029631,1,"French","g4-g5","usable_anchor",0.0384210526315789
"f233_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:dune",0.6,0.55,0.91,0.427586054120268,-0.312330719541128,1.30631434993173,0.652631578947368,0.52,0.923076923076923,0.441634421998714,-0.575388747027851,1,"French","g4-g5","usable_anchor",0.0526315789473685
"f235_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:pire",0.59,0.39,0.9,0.399258838075202,0.0387688029481086,1.15682972525354,0.610526315789474,0.41,0.933333333333333,0.434107878840793,-0.104964748202762,1,"French","g4-g5","usable_anchor",0.0205263157894737
"f247","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: poule",0.84,0.58,0.975,0.46534711558174,-0.77916549673851,1.74052536065719,0.88421052631579,0.61,0.994871794871795,0.452635184411967,-1.63900338741131,1,"French","g4-g5","extreme_anchor",0.0442105263157895
"f293","LIS LA QUESTION ET MONTRE-MOI LA BONNE REPONSE. QUE FAIT ALI ? Ali saute sur le",0.62,0.36,0.975,0.33410656617808,0.0570205127983893,0.748269820638378,0.515789473684211,0.43,0.969230769230769,0.431418676786836,0.114635949126926,1,"French","g4-g5","usable_anchor",-0.104210526315789
"f294_nv","LIS LA QUESTION ET MONTRE-MOI LA BONNE REPONSE. QUE FAIT SALMA? Elle joue.",0.54,0.28,0.97,0.479922917357784,0.36771538668838,1.28475704538913,0.547368421052632,0.37,0.964102564102564,0.42991306956567,0.209537494545113,1,"French","g4-g5","usable_anchor",0.00736842105263158
"f297_nv","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: une fleur, Omar, dessine",0.77,0.47,0.975,0.527166780591173,-0.411233794246798,1.96438524957084,0.705263157894737,0.56,0.994871794871795,0.595654201116076,-0.864801491559563,1,"French","g4-g5","usable_anchor",-0.0647368421052632
"f298","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: rouge, est, mon cartable",0.77,0.71,0.985,0.325342737215927,-1.28535739838715,0.965893015746575,0.8,0.69,0.97948717948718,0.482657157570511,-1.63900338741131,1,"French","g4-g5","usable_anchor",0.03
"f299","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: sous, est, la table, le chien",0.57,0.39,0.985,0.453516263092139,0.0754055699732377,1.31546964643079,0.610526315789474,0.24,0.984615384615385,0.623326913220845,0.434074651588803,1,"French","g4-g5","usable_anchor",0.0405263157894737
"f21","TU AS QUEL AGE ? QUEL AGE AS-TU ?",0.410526315789474,0.29,0.446153846153846,0.585095843152084,0.904539784045927,1,0.694736842105263,0.38,0.630769230769231,0.642792448022513,-0.118977739883363,2.36863032929317,"French","g5-g6","low_coverage_anchor",0.28421052631579
"f2100","A QUELLE HEURE TU VIENS A L'ECOLE LE MATIN ?",0.168421052631579,0.06,0.282051282051282,0.555683400555141,3.08812681928462,1,0.242105263157895,0.23,0.37948717948718,0.523479955413823,1.00546345692145,1.82020326554777,"French","g5-g6","low_coverage_anchor",0.0736842105263158
"f2101","COMMENT TU VIENS A L'ECOLE ?",0.115789473684211,0.08,0.225641025641026,0.374305217554315,3.32408867520257,1,0.273684210526316,0.16,0.369230769230769,0.464124404047139,1.19492376329722,1.52884101847696,"French","g5-g6","low_coverage_anchor",0.157894736842105
"f2102","QU'EST-CE QUE TU FAIS PENDANT LES VACANCES?",0.242105263157895,0.16,0.276923076923077,0.581809575245572,2.08020239120996,1,0.410526315789474,0.27,0.446153846153846,0.582772298820996,0.562613832757012,1.93813695450322,"French","g5-g6","low_coverage_anchor",0.168421052631579
"f2104","QUELLE EST TA MATIERE PREFEREE A L'ECOLE ?",0.568421052631579,0.14,0.384615384615385,0.647759639010292,0.904539784045926,1,0.652631578947368,0.3,0.507692307692308,0.577531289072004,0.091486406106122,1.78050895955832,"French","g5-g6","low_coverage_anchor",0.0842105263157895
"f2105","QUEL EST TON PLAT PREFERE?",0.378947368421053,0.15,0.312820512820513,0.553317152366952,1.54510710577257,1,0.642105263157895,0.26,0.476923076923077,0.664852876830339,0.15873887661186,2.4561163768919,"French","g5-g6","low_coverage_anchor",0.263157894736842
"f2107","Lina se réveille le matin.",0.136842105263158,0.03,0.174358974358974,0.509674959554611,3.59140975179574,1,0.147368421052632,0.09,0.302564102564103,0.502170765140699,1.4082373799091,3.03798229556232,"French","g5-g6","low_coverage_anchor",0.0105263157894737
"f2108","Lina va à la plage avec sa famille.",0.242105263157895,0.17,0.369230769230769,0.616490260351162,2.03175276689602,1,0.357894736842105,0.26,0.492307692307692,0.701671446373718,0.580850332235756,3.40536911706879,"French","g5-g6","low_coverage_anchor",0.115789473684211
"f2109","Lina nage dans la mer.",0.221052631578947,0.07,0.230769230769231,0.613920910457167,2.68201393249094,1,0.326315789473684,0.06,0.317948717948718,0.516022636282122,1.21633933692328,1.87043182259158,"French","g5-g6","low_coverage_anchor",0.105263157894737
"f2110","Lina joue sur le sable.",0.326315789473684,0.15,0.302564102564103,0.616756224770625,1.75690190657594,1,0.294736842105263,0.19,0.42051282051282,0.581470483784037,0.897092666357948,2.33641628483238,"French","g5-g6","low_coverage_anchor",-0.0315789473684211
"f2111","Lina mange une glace.",0.494736842105263,0.35,0.502564102564103,0.688910113701508,0.434074651588803,1,0.6,0.51,0.687179487179487,0.604098036770496,-0.188844120409914,2.14113214587867,"French","g5-g6","low_coverage_anchor",0.105263157894737
"f2112","Lina dort dans son lit",0.178947368421053,0.1,0.230769230769231,0.486980962581816,2.74481022683118,1,0.305263157894737,0.13,0.374358974358974,0.557951953221615,1.02743582269189,2.19072762613174,"French","g5-g6","low_coverage_anchor",0.126315789473684
"f2113","TU VAS ECOUTER UNE HISTOIRE AUDIO. REGARDE BIEN LES IMAGES. TU DOIS METTRE LES N",0.610526315789474,0.46,1,0.456096704345349,-0.261173468350328,1,0.673684210526316,0.63,0.98974358974359,0.322093567921339,-0.879466850132614,0.815554343847241,"French","g5-g6","usable_anchor",0.0631578947368421
"f2114","TU VAS ECOUTER UNE AUTRE HISTOIRE AUDIO. REGARDE BIEN LES IMAGES. TU DOIS METTRE",0.736842105263158,0.57,0.994871794871795,0.443212096021716,-0.996944502594775,1,0.831578947368421,0.71,0.994871794871795,0.344764943500382,-1.3620139386786,1.08865208285892,"French","g5-g6","extreme_anchor",0.0947368421052632
"f2118","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: tomate",0.957894736842105,0.88,0.98974358974359,0.37442213720451,-3.49075060604074,1,0.978947368421053,0.94,1,0.245676048699096,-2.26481631071468,2.10998550964476,"French","g5-g6","extreme_anchor",0.0210526315789474
"f2119","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: école",0.957894736842105,0.81,0.994871794871795,0.391291261948676,-2.95825250290154,1,0.989473684210526,0.91,1,0.239802871997491,-2.38538578393592,1.6628298448871,"French","g5-g6","extreme_anchor",0.031578947368421
"f2126","RELIS LE TEXTE ET MET EN ORDRE LES IMAGES",0.231578947368421,0.04,0.958974358974359,0.4949763665666,2.80936888173996,1,0.305263157894737,0.17,0.994871794871795,0.596024810036653,0.933707953630864,2.21845226349875,"French","g5-g6","usable_anchor",0.0736842105263158
"f2127","Quand se promène Dina avec sa famille? L'après-midi",0.326315789473684,0.2,0.948717948717949,0.257141746519105,1.54510710577257,1,0.452631578947368,0.44,0.984615384615385,0.150254985305776,0.692519235702985,0.319889763999017,"French","g5-g6","usable_anchor",0.126315789473684
"f2128","C'EST AMINE SUR LES IMAGES. ECRIS UNE PHRASE POUR DECRIRE L'IMAGE, COMME DANS L'",0.168421052631579,0.09,0.523076923076923,0.477668541772833,2.87582246622738,1,0.263157894736842,0.12,0.569230769230769,0.530849602821121,1.19366630509166,1.96054836789603,"French","g5-g6","low_coverage_anchor",0.0947368421052631
"f2129","C'EST AMINE SUR LES IMAGES. ECRIS UNE PHRASE POUR DECRIRE L'IMAGE, COMME DANS L'",0.242105263157895,0.17,0.435897435897436,0.63293244371149,2.03175276689602,1,0.221052631578947,0.15,0.528205128205128,0.577826814733693,1.11270258490483,2.60264338791486,"French","g5-g6","low_coverage_anchor",-0.0210526315789474
"f2130","C'EST AMINE SUR LES IMAGES. ECRIS UNE PHRASE POUR DECRIRE L'IMAGE, COMME DANS L'",0.336842105263158,0.22,0.671794871794872,0.554167878484994,1.42413087207033,1,0.410526315789474,0.27,0.748717948717949,0.60159445033623,0.558865104738398,1.97114323497982,"French","g5-g6","low_coverage_anchor",0.0736842105263158
"f2131","C'EST AMINE SUR LES IMAGES. ECRIS UNE PHRASE POUR DECRIRE L'IMAGE, COMME DANS L'",0.189473684210526,0.07,0.405128205128205,0.522924226278804,2.87582246622738,1,0.105263157894737,0.1,0.42051282051282,0.483114704181067,1.50240789122721,3.02415173558741,"French","g5-g6","low_coverage_anchor",-0.0842105263157895
"f23","C'EST QUEL JOUR AUJOURD'HUI ?",0.463157894736842,0.35,0.533333333333333,0.585098941787814,0.532072403402603,1,0.726315789473684,0.59,0.712820512820513,0.580983280295644,-0.525675366669788,2.2937502379614,"French","g5-g6","low_coverage_anchor",0.263157894736842
"f232_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:limonade",0.768421052631579,0.62,0.928205128205128,0.519164079967659,-1.27080043029631,1,0.747368421052632,0.66,0.994871794871795,0.472689889117533,-0.803063085562268,1.5474371411046,"French","g5-g6","usable_anchor",-0.0210526315789473
"f233_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:dune",0.652631578947368,0.52,0.923076923076923,0.441634421998714,-0.575388747027851,1,0.757894736842105,0.57,0.98974358974359,0.455553518586278,-0.676238517337128,1.35124434702846,"French","g5-g6","usable_anchor",0.105263157894737
"f235_nv","LIS LES MOTS SUIVANTS A VOIX HAUTE:pire",0.610526315789474,0.41,0.933333333333333,0.434107878840793,-0.104964748202762,1,0.610526315789474,0.49,0.984615384615385,0.476004052095593,-0.211618572718741,1.24408904515757,"French","g5-g6","usable_anchor",0
"f247","RELIE CHAQUE MOT A L'IMAGE CORRESPONDANTE: poule",0.88421052631579,0.61,0.994871794871795,0.452635184411967,-1.63900338741131,1,0.91578947368421,0.76,0.994871794871795,0.393466436649324,-1.43999076903767,1.61403784996013,"French","g5-g6","extreme_anchor",0.031578947368421
"f293","LIS LA QUESTION ET MONTRE-MOI LA BONNE REPONSE. QUE FAIT ALI ? Ali saute sur le",0.515789473684211,0.43,0.969230769230769,0.431418676786836,0.114635949126926,1,0.621052631578947,0.41,0.994871794871795,0.411544311453369,-0.0668257955113745,0.969973041986854,"French","g5-g6","usable_anchor",0.105263157894737
"f294_nv","LIS LA QUESTION ET MONTRE-MOI LA BONNE REPONSE. QUE FAIT SALMA? Elle joue.",0.547368421052632,0.37,0.964102564102564,0.42991306956567,0.209537494545113,1,0.673684210526316,0.47,0.994871794871795,0.623293673964706,-0.236739156908259,2.25633171492495,"French","g5-g6","usable_anchor",0.126315789473684
"f297_nv","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: une fleur, Omar, dessine",0.705263157894737,0.56,0.994871794871795,0.595654201116076,-0.864801491559563,1,0.88421052631579,0.69,0.98974358974359,0.471469787880532,-1.08113171447184,1.89384858458613,"French","g5-g6","extreme_anchor",0.178947368421053
"f298","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: rouge, est, mon cartable",0.8,0.69,0.97948717948718,0.482657157570511,-1.63900338741131,1,0.88421052631579,0.83,0.98974358974359,0.395530550478823,-1.50945949689895,1.7438962137898,"French","g5-g6","extreme_anchor",0.0842105263157894
"f299","ECRIS UNE PHRASE A PARTIR DES MOTS SUIVANTS: sous, est, la table, le chien",0.610526315789474,0.24,0.984615384615385,0.623326913220845,0.434074651588803,1,0.726315789473684,0.43,0.984615384615385,0.553074330720119,-0.278568601565888,1.68061297052263,"French","g5-g6","usable_anchor",0.115789473684211
"m210","Write the numbers in digits: sixty-five",0.736842105263158,0.752941176470588,0.972222222222222,0.407333695705711,-1.12570246196373,1.19425606172037,0.79,0.6,0.935,0.400521737263488,-0.951682282616199,1.03846232922047,"Maths","g1-g2","usable_anchor",0.0531578947368422
"m221","Connect the digital clock and the analog clock with a line: (6:00)",0.88421052631579,0.682352941176471,0.944444444444444,0.496692081137566,-1.13583943872165,1.66847473084866,0.9,0.89,0.99,0.299008451356324,-2.24749091567716,1.17805995903379,"Maths","g1-g2","extreme_anchor",0.0157894736842106
"m222","Connect the digital clock and the analog clock with a line: (12:00)",0.863157894736842,0.835294117647059,0.961111111111111,0.347280971936472,-2.00139338019049,1.03199386237806,0.95,0.9,0.98,0.264129344095594,-2.90488394293847,1.01041889837509,"Maths","g1-g2","extreme_anchor",0.0868421052631578
"m23y3_nv3","8+3 =",0.8,0.752941176470588,0.961111111111111,0.557948385620869,-0.945919680614789,2.21731106241889,0.92,0.68,0.97,0.353571979227672,-1.50837384537903,1.13462996524594,"Maths","g1-g2","extreme_anchor",0.12
"m24","7– 2 =",0.663157894736842,0.235294117647059,0.961111111111111,0.433362561562888,0.175766423983716,1.19236043264804,0.87,0.69,0.965,0.582663438281214,-0.90834742245007,2.60063565170211,"Maths","g1-g2","extreme_anchor",0.206842105263158
"m222","Connect the digital clock and the analog clock with a line: (12:00)",0.95,0.9,0.98,0.264129344095594,-2.90488394293847,1.01041889837509,0.93939393939394,0.94,1,0.177368076466467,-3.25693262218244,0.960720736743578,"Maths","g2-g3","extreme_anchor",-0.0106060606060605
"m230","5 x 6 =",0.59,0.5,0.82,0.591161966893014,-0.112965861906572,1.92794819934482,0.717171717171717,0.71,0.92964824120603,0.523059512744312,-0.736483831853469,1.92588940517082,"Maths","g2-g3","usable_anchor",0.127171717171717
"m230_nv","4 x 8 =",0.32,0.24,0.735,0.458190495301626,0.889796906438615,1.48690867903927,0.494949494949495,0.47,0.834170854271357,0.504599566363997,0.0587195314782087,1.48253166983344,"Maths","g2-g3","low_coverage_anchor",0.174949494949495
"m231_nv3","3 x 9 =",0.44,0.35,0.735,0.525830997854377,0.402351467550685,1.66067608191757,0.555555555555556,0.47,0.844221105527638,0.458455747360985,-0.0558948904824279,1.28562952069865,"Maths","g2-g3","low_coverage_anchor",0.115555555555556
"m233_nv","Write the appropriate number under each illustration : (135)",0.48,0.35,0.8,0.668843725174857,0.28078207862238,3.79618279242652,0.636363636363636,0.44,0.909547738693467,0.507077095434385,-0.144965575371557,1.5174449386073,"Maths","g2-g3","usable_anchor",0.156363636363636
"m33y3_nv3","13-9 =",0.62,0.39,0.835,0.533380252625966,0.0138907113445494,1.70365255147796,0.717171717171717,0.67,0.939698492462312,0.411229867197562,-0.865188829485872,1.1905388312584,"Maths","g2-g3","usable_anchor",0.0971717171717171
"m230","5 x 6 =",0.717171717171717,0.71,0.92964824120603,0.523059512744312,-0.736483831853469,1.92588940517082,0.9,0.76,0.99,0.559311006290663,-1.08626871085403,3.57195180999908,"Maths","g3-g4","extreme_anchor",0.182828282828283
"m230_nv","4 x 8 =",0.494949494949495,0.47,0.834170854271357,0.504599566363997,0.0587195314782087,1.48253166983344,0.74,0.66,0.975,0.457972285627936,-0.811536886873641,1.39474433680292,"Maths","g3-g4","usable_anchor",0.245050505050505
"m259","Write the appropriate number in digits next to each of the following statements:",0.292929292929293,0.26,0.914572864321608,0.614251099919415,0.658600035413014,2.85154390314712,0.45,0.3,0.95,0.529083511201246,0.452359643015674,1.93970095489144,"Maths","g3-g4","usable_anchor",0.157070707070707
"m260","determine the value represented by the number written in bold in each number: 5",0.404040404040404,0.31,0.763819095477387,0.53022424324868,0.492299011709456,1.74995182892412,0.27,0.18,0.92,0.400979475838374,1.25569900839934,1.28184758698289,"Maths","g3-g4","usable_anchor",-0.134040404040404
"m261","determine the value represented by the number written in bold in each number: 7",0.404040404040404,0.29,0.773869346733668,0.545003176795321,0.51479757428411,1.84840488889983,0.28,0.19,0.925,0.3993331243638,1.23590102439518,1.22381155157046,"Maths","g3-g4","usable_anchor",-0.124040404040404
"m279_nv3","Carefully observe the graph and answer the following questions: How many seconds",0.737373737373737,0.77,0.919597989949749,0.483978881636308,-0.89989884146621,1.91093223353731,0.71,0.67,0.935,0.507258769963749,-0.722716129950128,1.54099358806129,"Maths","g3-g4","usable_anchor",-0.0273737373737374
"m2101","Enclose with a line the value that is equal to  5.3 km 20 m in meters. Choices:",0.7,0.55,0.92,0.37490070868304,-0.609376881207747,0.990123958304977,0.722222222222222,0.62,0.936842105263158,0.297623347079689,-1.00168931282404,0.786409155579741,"Maths","g4-g5","usable_anchor",0.0222222222222223
"m2104_nv","How do you call Lines that are always the same distance apart and never cross? a",0.4,0.27,0.94,0.110152978511695,2.74494143164969,0.253670710148241,0.277777777777778,0.28,0.931578947368421,0.125851299697361,3.07076566085563,0.316470179147702,"Maths","g4-g5","weak_discrimination_anchor",-0.122222222222222
"m2107","72/6=",0.49,0.34,0.9,0.511800604219234,0.326413776166329,1.75251805651839,0.8,0.41,0.857894736842105,0.734264200250925,-0.220737480614752,4.83099625150334,"Maths","g4-g5","usable_anchor",0.31
"m2108","94/8 =",0.37,0.28,0.875,0.577688066237545,0.580106661710019,2.49854655708845,0.655555555555556,0.28,0.863157894736842,0.683843130862781,0.172361639791275,3.25300362392024,"Maths","g4-g5","usable_anchor",0.285555555555556
"m282_nv","4x9 =",0.71,0.62,0.97,0.55996384773258,-0.549809256816202,1.91501428323751,0.911111111111111,0.77,0.989473684210526,0.444064127450752,-1.35040766582618,1.85837044355077,"Maths","g4-g5","extreme_anchor",0.201111111111111
"m286_nv","Circle the number that corresponds to the representation Choices: 1 457; 5 147;",0.47,0.34,0.85,0.428215494734203,0.427623110328242,1.20291947380846,0.377777777777778,0.24,0.842105263157895,0.397073573105082,0.96097452352562,1.06431343559899,"Maths","g4-g5","usable_anchor",-0.0922222222222222
"m2107","72/6=",0.8,0.41,0.857894736842105,0.734264200250925,-0.220737480614752,4.83099625150334,0.688888888888889,0.505263157894737,0.810810810810811,0.467047223109507,-0.564712188955303,1,"Maths","g5-g6","usable_anchor",-0.111111111111111
"m2139_nv","735/7=",0.488888888888889,0.23,0.757894736842105,0.68417694575056,0.4799347057547,3.37135855862799,0.555555555555556,0.357894736842105,0.810810810810811,0.564385442216196,0.285492785835071,1,"Maths","g5-g6","usable_anchor",0.0666666666666667
"m2140_nv","624/4=",0.455555555555556,0.22,0.731578947368421,0.685954095765676,0.530601677084829,4.22599482198973,0.733333333333333,0.389473684210526,0.886486486486487,0.62608646642153,-0.33254139677385,1,"Maths","g5-g6","low_coverage_anchor",0.277777777777778
"m286_nv","Circle the number that corresponds to the representation Choices: 1 457; 5 147;",0.377777777777778,0.24,0.842105263157895,0.397073573105082,0.96097452352562,1.06431343559899,0.466666666666667,0.189473684210526,0.74054054054054,0.418599389339905,1.0975946741442,1,"Maths","g5-g6","low_coverage_anchor",0.0888888888888889
